name,ueid,emp_type,rank,position,team
D'Marcus Williums,8958ac8aa,ctr,14,Kicker,Special Teams
T.J. Juckson,67072f61f,ctr,10,Outside Linebacker,Defense
T'varisuness King,2a961391a,ctr,15,Punter,Special Teams
Tyroil Smoochie-Wallace,fbdc4e17a,gov,16,Returner,Special Teams
"D'Squarius Green, Jr.",c5b3ebde8,ctr,7,Tight End,Offense
Ibrahim Moizoos,fe23b38fc,ctr,12,Left Guard,Offense
Jackmerius Tacktheritrix,d26193a80,gov,8,Cornerback,Defense
D'Isiah T. Billings-Clyde,07057495f,ctr,11,Right Tackle,Offense
D'Jasper Probincrux III,ab7b44db0,ctr,1,Left Tackle,Offense
Leoz Maxwell Jilliumz,28c11d79b,gov,10,Outside Linebacker,Defense
Javaris Jamar Javarison-Lamar,e0e39343b,ctr,2,Center,Offense
Davoin Shower-Handel,25971d96e,ctr,10,Outside Linebacker,Defense
Hingle McCringleberry,270b88d06,gov,15,Punter,Special Teams
L'Carpetron Dookmarriot,a3e06efb1,ctr,3,Middle Linebacker,Defense
J'Dinkalage Morgoone,2101bd7ea,ctr,5,Defensive End,Defense
Xmus Jaxon Flaxon-Waxon,ed49d8290,gov,3,Middle Linebacker,Defense
Saggitariutt Jefferspin,e7a9e10e0,ctr,13,Right Guard,Offense
D'Glester Hardunkichud,48d29fcbd,ctr,17,Long Snapper,Special Teams
Swirvithan L'Goodling-Splatt,e3887f04c,ctr,11,Right Tackle,Offense
Quatro Quatro,131980f27,ctr,15,Punter,Special Teams
Ozamataz Buckshank,7d3305455,ctr,14,Kicker,Special Teams
Beezer Twelve Washingbeard,30010b424,ctr,14,Kicker,Special Teams
Shakiraquan T.G.I.F. Carter,f898af739,ctr,12,Left Guard,Offense
X-Wing @Aliciousness,faa5956c5,gov,13,Right Guard,Offense
Sequester Grundelplith M.D.,e1386ec25,gov,5,Defensive End,Defense
Scoish Velociraptor Maloish,3c49fa336,ctr,10,Outside Linebacker,Defense
T.J. A.J. R.J. Backslashinfourth V,4e2553cb1,gov,0,Quarterback,Offense
Eeeee Eeeeeeeee,c5e412f4d,ctr,10,Outside Linebacker,Defense
Donkey Teeth,469be516a,ctr,12,Left Guard,Offense
Torque (Construction Noise) Lewith,8c89dbc76,ctr,2,Center,Offense
The Player Formerly Known as Mousecop,7e5b0ef7c,gov,2,Center,Offense
Dan Smith,a7a7f4abe,ctr,11,Right Tackle,Offense
Creme De La Creme,bda9b96f8,ctr,9,Running Back,Offense
Cosgrove Shumway,4407f8af5,ctr,5,Defensive End,Defense
Ha Ha Clinton-Dix,ec8301eac,gov,17,Long Snapper,Special Teams
Doink Ahanahue,63d716888,gov,10,Outside Linebacker,Defense
Legume Duprix,a30c4a3f4,ctr,14,Kicker,Special Teams
Leger Douzable,f387e4a3a,ctr,8,Cornerback,Defense
Quisperny G'Dunzoid Sr.,583d1d0c7,ctr,9,Running Back,Offense
Grunky Peep,d07872e1b,ctr,4,Safety,Defense
D'Brickashaw Ferguson,bc3d1e2b7,ctr,7,Tight End,Offense
Strunk Flugget,f7bc93513,ctr,14,Kicker,Special Teams
Stumptavian Roboclick,2005fdc75,ctr,16,Returner,Special Teams
Cornelius 'Tank' Carradine,5a4aa875d,ctr,12,Left Guard,Offense
Vagonius Thicket-Suede,4892ceed3,ctr,10,Outside Linebacker,Defense
Marmadune Shazbot,797d723ed,ctr,1,Left Tackle,Offense
Swordless Mimetown,6ef53bce5,gov,10,Outside Linebacker,Defense
Prince Amukamara,8ac3ccb3b,ctr,14,Kicker,Special Teams
J.R. Junior Juniors Jr.,edb344da1,gov,11,Right Tackle,Offense
Faux Doadles,0e386e9e1,ctr,16,Returner,Special Teams
Fozzy Whittaker,b37f9c059,ctr,8,Cornerback,Defense
Myriad Profiteroles,385416940,ctr,14,Kicker,Special Teams
Busters Brownce,a6b47b109,ctr,4,Safety,Defense
Turdine Cupcake,d2f2ed7d2,gov,11,Right Tackle,Offense
Rerutweeds Myth,ba01ceb41,gov,4,Safety,Defense
Ishmaa'ily Kitchen,2bedadcf2,ctr,16,Returner,Special Teams
Takittothu' Limit,0ee1669de,ctr,15,Punter,Special Teams
 Santa Clarita,9c0ce4d52,gov,9,Running Back,Offense
Snarf Mintz-Plasse,948dd18c2,gov,14,Kicker,Special Teams
Frostee Rucker,1929585ee,ctr,3,Middle Linebacker,Defense
Splendiferous Finch,c52bdc900,gov,13,Right Guard,Offense
Triple Parakeet-Shoes,ba78dd4af,ctr,7,Tight End,Offense
Logjammer D'Baggagecling,78df5c1a4,ctr,5,Defensive End,Defense
A.A. Ron Rodgers,877aae678,ctr,2,Center,Offense
Coznesster Smiff ,a30466012,ctr,9,Running Back,Offense
Elipses Corter ,5068e2eac,gov,10,Outside Linebacker,Defense
Nyquillus Dillwad ,b34702679,ctr,8,Cornerback,Defense
Bismo Funyuns ,a93ea179f,ctr,15,Punter,Special Teams
Decatholac Mango ,5f7d41b04,ctr,16,Returner,Special Teams
Mergatroid Skittle ,1f1cc75d5,ctr,5,Defensive End,Defense
Quiznatodd Bidness ,852b966ab,gov,5,Defensive End,Defense
D'Pez Poopsie ,3bad89556,gov,15,Punter,Special Teams
Quackadilly Blip ,531331122,gov,12,Left Guard,Offense
Goolius Boozler ,786ba7145,ctr,11,Right Tackle,Offense
Bisquiteen Trisket ,a6f13f229,ctr,6,Wide Receiver,Offense
Fartrell Cluggins ,b359746a5,ctr,14,Kicker,Special Teams
Blyrone Blashinton ,1c94186ec,ctr,13,Right Guard,Offense
Cartoons Plural ,6c3ef49ac,ctr,13,Right Guard,Offense
Jammie Jammie-Jammie ,abca72376,ctr,10,Outside Linebacker,Defense
Fudge ,0e1e1e2c9,ctr,7,Tight End,Offense
Equine Ducklings ,b93d9adc4,ctr,13,Right Guard,Offense
Dahistorius Lamystorius ,fb02124cf,ctr,5,Defensive End,Defense
Ewokoniad Sigourneth JuniorStein ,7864f6fd2,ctr,8,Cornerback,Defense
Eqqsnuizitine Buble-Schwinslow ,c8d9e86dd,ctr,0,Quarterback,Offense
Huka'lakanaka Hakanakaheekalucka'hukahakafaka ,d2f0f1dc8,ctr,16,Returner,Special Teams
King Prince Chambermaid ,0d4e57d98,ctr,9,Running Back,Offense
Ladennifer Jadaniston ,964bad1ee,gov,7,Tight End,Offense
Ladadadaladadadadada Dala-Dadaladaladalada ,661002e06,ctr,8,Cornerback,Defense
Harvard University ,747d4424b,ctr,6,Wide Receiver,Offense
Morse Code ,ceb81004f,ctr,7,Tight End,Offense
Wingdings ,3a746717a,ctr,13,Right Guard,Offense
Firstname Lastname ,eba2d9bb4,ctr,7,Tight End,Offense
God ,f37a767fc,ctr,10,Outside Linebacker,Defense
Squeeeeeeeeeeps ,1cb26e5b5,gov,6,Wide Receiver,Offense
Benedict Cumberbatch ,ce024570d,gov,4,Safety,Defense
A.A. Ron Balakay ,7549bac13,gov,17,Long Snapper,Special Teams
